Subscriber,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender
1,496,329,42.380998,-71.08721308,441,42.38445226,-71.07514855,2901,1962,1
1,320,17,42.36426344,-71.1182757,70,42.3722168,-71.12188071,3812,1991,2
1,1592,68,42.36507,-71.1031,41,42.352261,-71.123831,3166,1978,1
1,443,55,42.347265,-71.088088,39,42.3385146,-71.07404083,4675,1984,1
1,174,75,42.36346469,-71.10057324,76,42.366426,-71.105495,3035,1991,2
1,759,235,42.38762811,-71.08318716,225,42.37119728,-71.09759867,2846,1983,1
1,673,67,42.3581,-71.093198,76,42.366426,-71.105495,5239,1992,1
1,437,328,42.39638681,-71.12011306,406,42.39189812,-71.09745376,4658,1995,1
1,1155,69,42.341598,-71.123338,16,42.34807412,-71.07657015,2727,1991,1
1,1928,67,42.3581,-71.093198,8,42.353334,-71.137313,5738,1988,2
1,279,33,42.348706,-71.097009,19,42.347241,-71.105301,3163,2000,1
1,972,178,42.3595732,-71.10129476,110,42.376369,-71.114025,2304,1994,1
1,481,189,42.36242784,-71.08495474,178,42.3595732,-71.10129476,5281,1996,1
0,788,56,42.32984299,-71.08386572,46,42.34366582,-71.08582377,2767,1999,1
1,884,370,42.35096144,-71.07782811,364,42.3388956,-71.08149976,3132,1996,2
1,515,178,42.3595732,-71.10129476,226,42.35154735,-71.12126246,3631,1984,1
1,2169,6,42.36121165,-71.0653062,54,42.354979,-71.063348,2464,1979,1
1,587,74,42.373268,-71.118579,330,42.38100143,-71.10402523,5105,1989,1
1,701,30,42.33462893,-71.10407918,332,42.34953017,-71.13022771,4494,1986,1
1,608,139,42.36178044,-71.10809952,185,42.36544486,-71.08277142,4008,1986,1
0,288,53,42.35082681,-71.08981088,67,42.3581,-71.093198,4413,1969,0
1,419,161,42.3391085,-71.0514432,64,42.3510045,-71.04930013,3736,1996,1
1,757,69,42.341598,-71.123338,401,42.32538436,-71.12177596,5631,1988,2
1,146,107,42.3625,-71.08822,141,42.36356016,-71.08216792,4217,1997,1
